09177;Erding;;ED; BY;Erding;140.127;870,73;161;
09572;Erlangen-Höchstadt;;ERH, HÖS; BY;Erlangen[FN 2];138.325;564,52;245;
14521;Erzgebirgskreis;;ERZ, ANA, ASZ, AU, MAB, MEK, STL, SZB, ZP; SN;Annaberg-Buchholz;318.394;1.827,93;174;
08116;Esslingen;;ES, NT; BW;Esslingen am Neckar;536.601;641,28;837;
05366;Euskirchen;;EU, SLE; NW;Euskirchen;202.609;1.248,72;162;
09474;Forchheim;;FO, EBS, PEG; BY;Forchheim;116.184;642,80;181;
09178;Freising;;FS; BY;Freising;184.564;799,83;231;
08237;Freudenstadt;;FDS, HCH, HOR, WOL; BW;Freudenstadt;121.958;870,41;140;
09272;Freyung-Grafenau;;FRG, GRA, WOS; BY;Freyung;78.710;983,86;80;
03455;Friesland;;FRI; NI;Jever;100.411;609,54;165;
06631;Fulda;;FD; HE;Fulda;222.283;1.380,42;161;
09179;Fürstenfeldbruck;;FFB; BY;Fürstenfeldbruck;218.227;434,82;502;
09573;Fürth;;FÜ; BY;Zirndorf;117.719;307,43;383;
09180;Garmisch-Partenkirchen;;GAP; BY;Garmisch-Partenkirchen;89.296;1.012,17;88;
07334;Germersheim;;GER; RP;Germersheim;131.383;463,32;284;
06531;Gießen;;GI; HE;Gießen;268.418;854,56;314;
03151;Gifhorn;;GF; NI;Gifhorn;175.943;1.567,59;112;
08117;Göppingen;;GP; BW;Göppingen;258.809;642,32;403;
14626;Görlitz;;GR, LÖB, NOL, NY, WSW, ZI; SN;Görlitz;243.958;2.111,44;116;
03153;Goslar;;GS, BRL, CLZ; NI;Goslar;126.775;966,73;131;
16067;Gotha;;GTH; TH;Gotha;135.838;936,08;145;
03159;Göttingen;;GÖ, DUD, HMÜ, OHA; NI;Göttingen;328.028;1.755,39;187;
03456;Grafschaft Bentheim;;NOH; NI;Nordhorn;144.543;981,79;147;
16076;Greiz;;GRZ, ZR; TH;Greiz;93.707;845,95;111;
06433;Groß-Gerau;;GG; HE;Groß-Gerau;268.310;453,03;592;
09774;Günzburg;;GZ, KRU; BY;Günzburg;129.846;762,43;170;
05754;Gütersloh;;GT; NW;Gütersloh;363.982;969,21;376;
03252;Hameln-Pyrmont;;HM; NI;Hameln;150.203;797,52;188;
03241;Hannover, Region[FN 1];;H; NI;Hannover;1.140.888;2.297,13;497;
03353;Harburg;;WL; NI;Winsen (Luhe);265.864;1.248,44;213;
15085;Harz;;HZ, HBS, QLB, WR; ST;Halberstadt;205.484;2.104,91;98;
09674;Haßberge;;HAS, EBN, GEO, HOH; BY;Haßfurt;83.869;956,19;88;
12063;Havelland;;HVL, NAU, RN; BB;Rathenow;170.834;1.727,32;99;
